"Category","Gulskogen stasjon (2.23), 31.12.2024 - 30.12.2025"
"Alle husholdninger",586327.530263322
"Par uten hjemmeboende barn",747690.7899663048
"Par med barn",949477.611381505
"Aleneboende",346002.88281542493
"Enslig forelder med barn",485550.22052927024
