"Category","Mat og opplevelser","Handel","Tjenester"
"2015",101.29299999999999,1385.8889999999997,64.991
"2016",81.466,1430.367,69.75800000000001
"2017",55.830999999999996,1456.5020000000002,74.23800000000001
"2018",77.532,1392.7,74.836
"2019",77.015,1202.0320000000002,87.00500000000001
"2020",59.44500000000001,1261.0759999999998,80.45800000000001
"2021",72.068,1582.152,90.32500000000002
"2022",81.484,1785.6629999999998,100.49499999999999
"2023",85.439,1960.4219999999998,105.75900000000001
"2024",86.035,1850.9330000000007,103.88300000000001
"2025",89.286,1666.0149999999996,97.586
