"Category","Gulskogen stasjon (2.23)"
"Alle husholdninger",570268.3554521843
"Par uten hjemmeboende barn",728119.4237619182
"Par med barn",892089.3938153728
"Aleneboende",339253.7754940764
"Enslig forelder med barn",491119.24975585245
