"Category","Gulskogen stasjon (2.23), 31.12.2024 - 30.12.2025"
"Par uten hjemmeboende barn",8384.075940990548
"Par med barn",6883.864764805428
"Aleneboende",15717.547368842797
"Enslig forelder med barn",4063.2493291778583
"Andre husholdninger",904.5081284430845
