"Category","Gulskogen stasjon (2.23), 31.12.2024 - 30.12.2025"
"Eneboliger",14415.866735411731
"Småhus",2281.2731792686805
"Leilighetsbygg",829.6676672734626
"Næringsbygg",1823.239985823851
"Andre bygg",181.51023250028283
"Hytter",3949.7833216419967
