"DateTime","Valgte kategorier"
"January  2, 2019",100
"January  3, 2019",90.0250626566416
"January  4, 2019",88.87218045112782
"January  5, 2019",107.96992481203007
"January  7, 2019",65.36340852130326
"January  8, 2019",61.95488721804511
"January  9, 2019",68.47117794486216
"January 10, 2019",75.23809523809523
"January 11, 2019",105.46365914786968
"January 12, 2019",128.27067669172934
"January 14, 2019",74.88721804511277
"January 15, 2019",72.73182957393483
"January 16, 2019",68.1203007518797
"January 17, 2019",92.78195488721805
"January 18, 2019",92.73182957393483
"January 19, 2019",123.80952380952381
"January 21, 2019",71.32832080200501
"January 22, 2019",75.83959899749372
"January 23, 2019",75.38847117794487
"January 24, 2019",73.08270676691728
"January 25, 2019",78.29573934837093
"January 26, 2019",104.66165413533834
"January 28, 2019",53.333333333333336
"January 29, 2019",65.31328320802004
"January 30, 2019",70.67669172932331
"January 31, 2019",69.52380952380952
"February  1, 2019",66.16541353383458
"February  2, 2019",103.80952380952382
"February  4, 2019",55.08771929824561
"February  5, 2019",63.859649122807014
"February  6, 2019",61.553884711779446
"February  7, 2019",68.87218045112782
"February  8, 2019",71.52882205513784
"February  9, 2019",111.72932330827068
"February 11, 2019",58.39598997493734
"February 12, 2019",79.49874686716792
"February 13, 2019",77.79448621553885
"February 14, 2019",80.40100250626566
"February 15, 2019",89.12280701754386
"February 16, 2019",107.91979949874685
"February 18, 2019",66.81704260651628
"February 19, 2019",75.88972431077694
"February 20, 2019",82.40601503759397
"February 21, 2019",87.01754385964911
"February 22, 2019",85.86466165413533
"February 23, 2019",102.65664160401002
"February 25, 2019",79.59899749373433
"February 26, 2019",70.22556390977444
"February 27, 2019",73.58395989974936
"February 28, 2019",84.41102756892231
"March  1, 2019",77.14285714285714
"March  2, 2019",99.74937343358395
"March  4, 2019",63.30827067669173
"March  5, 2019",70.17543859649122
"March  6, 2019",64.26065162907268
"March  7, 2019",67.66917293233082
"March  8, 2019",87.31829573934836
"March  9, 2019",104.76190476190474
"March 11, 2019",61.65413533834586
"March 12, 2019",76.39097744360902
"March 13, 2019",70.27568922305764
"March 14, 2019",85.06265664160401
"March 15, 2019",92.98245614035086
"March 16, 2019",120.45112781954887
"March 18, 2019",65.11278195488721
"March 19, 2019",77.74436090225562
"March 20, 2019",87.01754385964911
"March 21, 2019",90.22556390977444
"March 22, 2019",89.92481203007519
"March 23, 2019",110.02506265664158
"March 25, 2019",69.02255639097744
"March 26, 2019",80.85213032581453
"March 27, 2019",79.14786967418546
"March 28, 2019",88.22055137844612
"March 29, 2019",93.48370927318295
"March 30, 2019",130.27568922305767
"April  1, 2019",72.98245614035088
"April  2, 2019",72.18045112781954
"April  3, 2019",74.28571428571428
"April  4, 2019",79.34837092731829
"April  5, 2019",88.32080200501252
"April  6, 2019",114.18546365914786
"April  8, 2019",64.76190476190476
"April  9, 2019",76.14035087719297
"April 10, 2019",84.51127819548871
"April 11, 2019",87.06766917293233
"April 12, 2019",113.98496240601503
"April 13, 2019",126.16541353383457
"April 15, 2019",117.34335839598997
"April 16, 2019",114.73684210526316
"April 17, 2019",114.58646616541353
"April 20, 2019",72.23057644110276
"April 23, 2019",95.23809523809523
"April 24, 2019",91.32832080200501
"April 25, 2019",95.58897243107769
"April 26, 2019",160.6516290726817
"April 27, 2019",136.74185463659148
"April 29, 2019",81.60401002506265
"April 30, 2019",102.65664160401002
"May  2, 2019",105.51378446115287
"May  3, 2019",107.41854636591476
"May  4, 2019",122.20551378446116
"May  6, 2019",71.32832080200501
"May  7, 2019",69.62406015037594
"May  8, 2019",75.33834586466165
"May  9, 2019",87.61904761904762
"May 10, 2019",131.42857142857142
"May 11, 2019",154.38596491228068
"May 13, 2019",97.44360902255639
"May 14, 2019",105.16290726817041
"May 15, 2019",130.82706766917292
"May 16, 2019",142.30576441102755
"May 18, 2019",132.73182957393485
"May 20, 2019",91.32832080200501
"May 21, 2019",87.76942355889723
"May 22, 2019",102.05513784461154
"May 23, 2019",112.28070175438596
"May 24, 2019",113.734335839599
"May 25, 2019",115.83959899749372
"May 27, 2019",80.25062656641605
"May 28, 2019",87.76942355889723
"May 29, 2019",102.05513784461154
"May 31, 2019",141.35338345864662
"June  1, 2019",113.38345864661655
"June  3, 2019",122.00501253132832
"June  4, 2019",96.69172932330827
"June  5, 2019",100.95238095238092
"June  6, 2019",92.13032581453633
"June  7, 2019",109.52380952380952
"June  8, 2019",111.42857142857142
"June 11, 2019",106.11528822055136
"June 12, 2019",164.2606516290727
"June 13, 2019",144.81203007518795
"June 14, 2019",149.22305764411027
"June 15, 2019",138.34586466165413
"June 17, 2019",128.1704260651629
"June 18, 2019",132.33082706766916
"June 19, 2019",150.6766917293233
"June 20, 2019",253.58395989974935
"June 21, 2019",159.84962406015038
"June 22, 2019",167.11779448621553
"June 24, 2019",134.937343358396
"June 25, 2019",137.99498746867167
"June 26, 2019",129.62406015037593
"June 27, 2019",119.79949874686717
"June 28, 2019",123.55889724310775
"June 29, 2019",121.70426065162907
"July  1, 2019",140.50125313283206
"July  2, 2019",119.79949874686717
"July  3, 2019",122.10526315789471
"July  4, 2019",110.47619047619048
"July  5, 2019",100.6516290726817
"July  6, 2019",121.60401002506265
"July  8, 2019",107.31829573934837
"July  9, 2019",96.79197994987469
"July 10, 2019",91.2781954887218
"July 11, 2019",83.50877192982455
"July 12, 2019",101.05263157894737
"July 13, 2019",92.88220551378446
"July 15, 2019",123.15789473684208
"July 16, 2019",84.01002506265664
"July 17, 2019",81.3533834586466
"July 18, 2019",96.14035087719297
"July 19, 2019",121.9047619047619
