"Category","Gulskogen stasjon (2.23), Besøkende, 01.07.2025 - 31.12.2025","Gulskogen stasjon (2.23), På jobb, 01.07.2025 - 31.12.2025","Gulskogen stasjon (2.23), Hjemme, 01.07.2025 - 31.12.2025"
"man.",18372,7238,10235
"tir.",18161,7026,10131
"ons.",17740,6971,10075
"tor.",17940,6962,10057
"fre.",19024,7024,9931
"lør.",16945,5688,9426
"søn.",10820,3596,9447
